DOI,authors,number,title,combined
DOI0,James Johnson,0,title 0,James Johnson. title 0. DOI0
DOI1,Regenia Voigt,0.1,title 1,Regenia Voigt. title 1. DOI1
DOI2,Willie Campos,0.2,title 2,Willie Campos. title 2. DOI2
DOI3,Linda Guy,0.3,title 3,Linda Guy. title 3. DOI3
DOI4,Ronald Ioele,0.4,title 4,Ronald Ioele. title 4. DOI4
DOI5,Joseph Mcgee,0.5,title 5,Joseph Mcgee. title 5. DOI5
DOI6,Jerry Jones,0.6,title 6,Jerry Jones. title 6. DOI6
DOI7,Kim Craft,0.7,title 7,Kim Craft. title 7. DOI7
DOI8,Doris Tate,0.8,title 8,Doris Tate. title 8. DOI8
DOI9,Jessica Pierce,0.9,title 9,Jessica Pierce. title 9. DOI9
DOI10,Anita Mccoy,1,title 10,Anita Mccoy. title 10. DOI10
DOI11,James Abeyta,1.1,title 11,James Abeyta. title 11. DOI11
DOI12,Mary Johnson,1.2,title 12,Mary Johnson. title 12. DOI12
DOI13,Bonnie Averett,1.3,title 13,Bonnie Averett. title 13. DOI13
DOI14,Arthur Lopes,1.4,title 14,Arthur Lopes. title 14. DOI14
DOI15,David Walker,1.5,title 15,David Walker. title 15. DOI15
DOI16,John Burtt,1.6,title 16,John Burtt. title 16. DOI16
DOI17,Cherie Mcdaniel,1.7,title 17,Cherie Mcdaniel. title 17. DOI17
DOI18,David Ortiz,1.8,title 18,David Ortiz. title 18. DOI18
DOI19,Elizabeth Shay,1.9,title 19,Elizabeth Shay. title 19. DOI19
DOI20,Tina Craig,2,title 20,Tina Craig. title 20. DOI20
DOI21,Allen Haraway,2.1,title 21,Allen Haraway. title 21. DOI21
DOI22,Grace Beardsley,2.2,title 22,Grace Beardsley. title 22. DOI22
DOI23,Ruth Barretto,2.3,title 23,Ruth Barretto. title 23. DOI23
DOI24,Diane Outhouse,2.4,title 24,Diane Outhouse. title 24. DOI24
DOI25,April Wyatt,2.5,title 25,April Wyatt. title 25. DOI25
DOI26,Elmer Mohammad,2.6,title 26,Elmer Mohammad. title 26. DOI26
DOI27,William Kimbrell,2.7,title 27,William Kimbrell. title 27. DOI27
DOI28,Michele Brasfield,2.8,title 28,Michele Brasfield. title 28. DOI28
DOI29,Thomas Fugate,2.9,title 29,Thomas Fugate. title 29. DOI29
DOI30,Courtney Lacombe,3,title 30,Courtney Lacombe. title 30. DOI30
DOI31,Jonathon Cifelli,3.1,title 31,Jonathon Cifelli. title 31. DOI31
DOI32,Lisa Kocur,3.2,title 32,Lisa Kocur. title 32. DOI32
DOI33,Janis Carson,3.3,title 33,Janis Carson. title 33. DOI33
DOI34,Robert Dorado,3.4,title 34,Robert Dorado. title 34. DOI34
DOI35,Donald Jozwiak,3.5,title 35,Donald Jozwiak. title 35. DOI35
DOI36,Shane Evans,3.6,title 36,Shane Evans. title 36. DOI36
DOI37,Leslie Guidry,3.7,title 37,Leslie Guidry. title 37. DOI37
DOI38,Bruce Bailey,3.8,title 38,Bruce Bailey. title 38. DOI38
DOI39,Paul Grimmett,3.9,title 39,Paul Grimmett. title 39. DOI39
DOI40,Stanley Taylor,4,title 40,Stanley Taylor. title 40. DOI40
DOI41,Louie Howard,4.1,title 41,Louie Howard. title 41. DOI41
DOI42,Kenneth Gutierrez,4.2,title 42,Kenneth Gutierrez. title 42. DOI42
DOI43,Loren Lazzari,4.3,title 43,Loren Lazzari. title 43. DOI43
DOI44,Chad Ross,4.4,title 44,Chad Ross. title 44. DOI44
DOI45,Stephanie Rouse,4.5,title 45,Stephanie Rouse. title 45. DOI45
DOI46,Martin Spruill,4.6,title 46,Martin Spruill. title 46. DOI46
DOI47,Fredrick Clark,4.7,title 47,Fredrick Clark. title 47. DOI47
DOI48,Kathy Brown,4.8,title 48,Kathy Brown. title 48. DOI48
DOI49,Marie Kawai,4.9,title 49,Marie Kawai. title 49. DOI49
DOI50,Elmer White,5,title 50,Elmer White. title 50. DOI50
DOI51,John Childers,5.1,title 51,John Childers. title 51. DOI51
DOI52,Rick Heller,5.2,title 52,Rick Heller. title 52. DOI52
DOI53,Corinne Jessop,5.3,title 53,Corinne Jessop. title 53. DOI53
DOI54,George Holsopple,5.4,title 54,George Holsopple. title 54. DOI54
DOI55,Robert Smith,5.5,title 55,Robert Smith. title 55. DOI55
DOI56,Mary Lee,5.6,title 56,Mary Lee. title 56. DOI56
DOI57,Walter Ostrander,5.7,title 57,Walter Ostrander. title 57. DOI57
DOI58,Eric Adair,5.8,title 58,Eric Adair. title 58. DOI58
DOI59,Alexander Rogers,5.9,title 59,Alexander Rogers. title 59. DOI59
DOI60,Dorothy Brooks,6,title 60,Dorothy Brooks. title 60. DOI60
DOI61,David Rynearson,6.1,title 61,David Rynearson. title 61. DOI61
DOI62,Bernie Jenson,6.2,title 62,Bernie Jenson. title 62. DOI62
DOI63,Ricardo Peckham,6.3,title 63,Ricardo Peckham. title 63. DOI63
DOI64,Valerie Workman,6.4,title 64,Valerie Workman. title 64. DOI64
DOI65,Michelle Webster,6.5,title 65,Michelle Webster. title 65. DOI65
DOI66,Sandra Khoury,6.6,title 66,Sandra Khoury. title 66. DOI66
DOI67,John Metcalf,6.7,title 67,John Metcalf. title 67. DOI67
DOI68,Norman Caldwell,6.8,title 68,Norman Caldwell. title 68. DOI68
DOI69,Mary Rodocker,6.9,title 69,Mary Rodocker. title 69. DOI69
DOI70,David Luker,7,title 70,David Luker. title 70. DOI70
DOI71,Ramon Mendez,7.1,title 71,Ramon Mendez. title 71. DOI71
DOI72,Ethel Cherenfant,7.2,title 72,Ethel Cherenfant. title 72. DOI72
DOI73,Jimmy Perry,7.3,title 73,Jimmy Perry. title 73. DOI73
DOI74,Mariann Marshall,7.4,title 74,Mariann Marshall. title 74. DOI74
DOI75,Damian Rudd,7.5,title 75,Damian Rudd. title 75. DOI75
DOI76,Gary Howard,7.6,title 76,Gary Howard. title 76. DOI76
DOI77,Stacy Turner,7.7,title 77,Stacy Turner. title 77. DOI77
DOI78,Cornelia Paulk,7.8,title 78,Cornelia Paulk. title 78. DOI78
DOI79,Donna Guerrant,7.9,title 79,Donna Guerrant. title 79. DOI79
DOI80,Gilbert Hogue,8,title 80,Gilbert Hogue. title 80. DOI80
