DOI,authors,number,title,combined
DOI0,Martha Zhao,0,title 0,Martha Zhao. title 0. DOI0
DOI1,Alice Sexton,0.1,title 1,Alice Sexton. title 1. DOI1
DOI2,Phillip Wells,0.2,title 2,Phillip Wells. title 2. DOI2
DOI3,Richard Webb,0.3,title 3,Richard Webb. title 3. DOI3
DOI4,Lenora Gall,0.4,title 4,Lenora Gall. title 4. DOI4
DOI5,Jacquelyn Hinkle,0.5,title 5,Jacquelyn Hinkle. title 5. DOI5
DOI6,Katrina Donnelly,0.6,title 6,Katrina Donnelly. title 6. DOI6
DOI7,Marie Yates,0.7,title 7,Marie Yates. title 7. DOI7
DOI8,Jessie Sparks,0.8,title 8,Jessie Sparks. title 8. DOI8
DOI9,Kenneth Richarson,0.9,title 9,Kenneth Richarson. title 9. DOI9
DOI10,Julie Avitia,1,title 10,Julie Avitia. title 10. DOI10
DOI11,William Norris,1.1,title 11,William Norris. title 11. DOI11
DOI12,Shari Brantley,1.2,title 12,Shari Brantley. title 12. DOI12
DOI13,Mary Weaver,1.3,title 13,Mary Weaver. title 13. DOI13
DOI14,Roy Luther,1.4,title 14,Roy Luther. title 14. DOI14
DOI15,Shawn Kountz,1.5,title 15,Shawn Kountz. title 15. DOI15
DOI16,Kathleen Muellerleile,1.6,title 16,Kathleen Muellerleile. title 16. DOI16
DOI17,Maureen Yancey,1.7,title 17,Maureen Yancey. title 17. DOI17
DOI18,Wilma Hager,1.8,title 18,Wilma Hager. title 18. DOI18
DOI19,Jason Jordan,1.9,title 19,Jason Jordan. title 19. DOI19
DOI20,Alaina Soule,2,title 20,Alaina Soule. title 20. DOI20
DOI21,Gary Thompson,2.1,title 21,Gary Thompson. title 21. DOI21
DOI22,Maurita Damico,2.2,title 22,Maurita Damico. title 22. DOI22
DOI23,Janet Hanes,2.3,title 23,Janet Hanes. title 23. DOI23
DOI24,Doris Cotner,2.4,title 24,Doris Cotner. title 24. DOI24
DOI25,Anna Pitts,2.5,title 25,Anna Pitts. title 25. DOI25
DOI26,Elizabeth Garcia,2.6,title 26,Elizabeth Garcia. title 26. DOI26
DOI27,Soledad Scott,2.7,title 27,Soledad Scott. title 27. DOI27
DOI28,Kari Thompson,2.8,title 28,Kari Thompson. title 28. DOI28
DOI29,Linn Mena,2.9,title 29,Linn Mena. title 29. DOI29
DOI30,Maryann Wilson,3,title 30,Maryann Wilson. title 30. DOI30
DOI31,Cesar Flores,3.1,title 31,Cesar Flores. title 31. DOI31
DOI32,Marie Carrero,3.2,title 32,Marie Carrero. title 32. DOI32
DOI33,Rocco Levenhagen,3.3,title 33,Rocco Levenhagen. title 33. DOI33
DOI34,Olga Krueger,3.4,title 34,Olga Krueger. title 34. DOI34
DOI35,Mary Phagan,3.5,title 35,Mary Phagan. title 35. DOI35
DOI36,Barbara Clifton,3.6,title 36,Barbara Clifton. title 36. DOI36
DOI37,Walter Duquette,3.7,title 37,Walter Duquette. title 37. DOI37
DOI38,Steven Bui,3.8,title 38,Steven Bui. title 38. DOI38
DOI39,David Temple,3.9,title 39,David Temple. title 39. DOI39
DOI40,Cynthia Scott,4,title 40,Cynthia Scott. title 40. DOI40
DOI41,Oscar Dillahunt,4.1,title 41,Oscar Dillahunt. title 41. DOI41
DOI42,Janene Tschanz,4.2,title 42,Janene Tschanz. title 42. DOI42
DOI43,Kyong Lowder,4.3,title 43,Kyong Lowder. title 43. DOI43
DOI44,Miranda Freeman,4.4,title 44,Miranda Freeman. title 44. DOI44
DOI45,Wade Hooten,4.5,title 45,Wade Hooten. title 45. DOI45
DOI46,Frances Pham,4.6,title 46,Frances Pham. title 46. DOI46
DOI47,Ella Rosenow,4.7,title 47,Ella Rosenow. title 47. DOI47
DOI48,William Yelverton,4.8,title 48,William Yelverton. title 48. DOI48
DOI49,Joan Hernandez,4.9,title 49,Joan Hernandez. title 49. DOI49
DOI50,Steven Smalls,5,title 50,Steven Smalls. title 50. DOI50
DOI51,James Williams,5.1,title 51,James Williams. title 51. DOI51
DOI52,Kimberly Ma,5.2,title 52,Kimberly Ma. title 52. DOI52
DOI53,Harold Luechtefeld,5.3,title 53,Harold Luechtefeld. title 53. DOI53
DOI54,Jamee Jones,5.4,title 54,Jamee Jones. title 54. DOI54
DOI55,John Bright,5.5,title 55,John Bright. title 55. DOI55
DOI56,Melvin Washington,5.6,title 56,Melvin Washington. title 56. DOI56
DOI57,Martha Meredith,5.7,title 57,Martha Meredith. title 57. DOI57
DOI58,Christopher Zurcher,5.8,title 58,Christopher Zurcher. title 58. DOI58
DOI59,Samantha Jankowiak,5.9,title 59,Samantha Jankowiak. title 59. DOI59
DOI60,Rachael Steenberg,6,title 60,Rachael Steenberg. title 60. DOI60
DOI61,David Spates,6.1,title 61,David Spates. title 61. DOI61
DOI62,Aaron Schrock,6.2,title 62,Aaron Schrock. title 62. DOI62
DOI63,Lori Wauch,6.3,title 63,Lori Wauch. title 63. DOI63
DOI64,Dorothy Galindo,6.4,title 64,Dorothy Galindo. title 64. DOI64
DOI65,Patricia Salviejo,6.5,title 65,Patricia Salviejo. title 65. DOI65
DOI66,Herbert Jennings,6.6,title 66,Herbert Jennings. title 66. DOI66
DOI67,Stephen Larimore,6.7,title 67,Stephen Larimore. title 67. DOI67
DOI68,Pauline Soffel,6.8,title 68,Pauline Soffel. title 68. DOI68
DOI69,Elidia Peterson,6.9,title 69,Elidia Peterson. title 69. DOI69
DOI70,Lauren Wilczynski,7,title 70,Lauren Wilczynski. title 70. DOI70
DOI71,Fred Wolf,7.1,title 71,Fred Wolf. title 71. DOI71
DOI72,Lola Starbuck,7.2,title 72,Lola Starbuck. title 72. DOI72
DOI73,Stacy Wilson,7.3,title 73,Stacy Wilson. title 73. DOI73
DOI74,Judy Sargent,7.4,title 74,Judy Sargent. title 74. DOI74
DOI75,Janice Mann,7.5,title 75,Janice Mann. title 75. DOI75
DOI76,Brittany Andrews,7.6,title 76,Brittany Andrews. title 76. DOI76
DOI77,Thomas Greig,7.7,title 77,Thomas Greig. title 77. DOI77
DOI78,Michael Pults,7.8,title 78,Michael Pults. title 78. DOI78
DOI79,Angelita Mercer,7.9,title 79,Angelita Mercer. title 79. DOI79
DOI80,Loura Crawford,8,title 80,Loura Crawford. title 80. DOI80
DOI81,Edna Barker,8.1,title 81,Edna Barker. title 81. DOI81
DOI82,Colleen Otoole,8.2,title 82,Colleen Otoole. title 82. DOI82
DOI83,Aimee Keller,8.3,title 83,Aimee Keller. title 83. DOI83
DOI84,Daniel Pittman,8.4,title 84,Daniel Pittman. title 84. DOI84
DOI85,Nathan George,8.5,title 85,Nathan George. title 85. DOI85
DOI86,Grover Griffith,8.6,title 86,Grover Griffith. title 86. DOI86
DOI87,Johnathan Brown,8.7,title 87,Johnathan Brown. title 87. DOI87
DOI88,Kathleen Tingle,8.8,title 88,Kathleen Tingle. title 88. DOI88
DOI89,Jacinda Jones,8.9,title 89,Jacinda Jones. title 89. DOI89
DOI90,Henry Allen,9,title 90,Henry Allen. title 90. DOI90
DOI91,Herbert Gonzales,9.1,title 91,Herbert Gonzales. title 91. DOI91
DOI92,Thomas Hart,9.2,title 92,Thomas Hart. title 92. DOI92
DOI93,Santiago Morris,9.3,title 93,Santiago Morris. title 93. DOI93
DOI94,Robert Jones,9.4,title 94,Robert Jones. title 94. DOI94
DOI95,Bryce Jackson,9.5,title 95,Bryce Jackson. title 95. DOI95
DOI96,John Bounds,9.6,title 96,John Bounds. title 96. DOI96
DOI97,Nathan Davis,9.7,title 97,Nathan Davis. title 97. DOI97
